,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
37,1.000МКД,1,30 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Да,2021,2021,1 Балкон,1,Не,1 Паркинг,Исток,Методија Шаторов Шарло 1
38,450€,3,85 m²,Струја,8 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,2,Не,2 Паркинг места,Југоисток,Центар
39,420€,3,65 m²,Друго,>15 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,Нема,1,Не,1 Гаража,Исток,NaN
40,600€,3,65 m²,Друго,>15 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Гаража,Исток,NaN
41,450€,2,40 m²,Струја,>15 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Гаража,Исток,Кисела Вода
42,5МКД,1,32 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Да,2018,2018,1 Тераса,1,Не,Нема,Исток,Venjamin macukovski 34
43,1€,4,70 m²,Нема ,3 кат  ,Во Зграда,Стар,Празен,Не,1961,NaN,2 Балкони,1,Да,1 Паркинг,Југ,Васил Ѓоргов 23а
44,500€,3,70 m²,Централно,>15 кат  ,Во Зграда,Нов,Наместен,Да,2022,NaN,1 Тераса,1,Да,1 Паркинг,Југозапад,Џевахир блок д
45,1.000МКД,"1,5",30 m²,Централно,1 кат  ,Во Зграда,Нов,Наместен,Да,2021,NaN,1 Тераса,1,Не,1 Паркинг,Југ,Методија Шаторов-Шарло
46,210€,3,60 m²,Струја,Приземје,Во Зграда,Нов,Полу наместен,Да,NaN,NaN,Нема,2,Не,1 Паркинг,Исток,Хром
47,250€,3,65 m²,Централно,3 кат  ,Во Зграда,Нов,Празен,Да,NaN,NaN,1 Балкон,1,Да,1 Паркинг,Југоисток,Аеродром
48,250€,2,46 m²,Централно,3 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Тераса,1,Не,Повеќе од 3 паркинг места,Југ,Venjamim mandzukovski br. 4
49,280€,3,87 m²,Централно,11 кат  ,Во Зграда,Реновиран,Наместен,Да,1970,2005,1 Тераса,2,Не,1 Паркинг,Исток,NaN
50,250€,2,37 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,2008,NaN,1 Тераса,1,Не,1 Паркинг,Запад,NaN
51,300€,2,48 m²,Струја,2 кат  ,Во Зграда,Нов,Наместен,Не,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Југ,Тафталиџе 
52,9.000МКД,"3,5",90 m²,Друго,Приземје,Во куќа,Нов,Наместен,Не,NaN,NaN,1 Тераса,1,Не,1 Паркинг,Југозапад,NaN
